Bi-LSTM with Attention (av_pooling)
K size: k:5 and k_24, Window sizes: before LSTM:200 and before atten:50, batch size: 5, learning rate: 0.0001, epochs: 300
Input dimension: 90, hidden dimension: 200, layer dimension: 1, output dimension: 7

Model loss after 1 epochs = 1.5048235654830933, accuracy = 0.6653266549110413
Model loss after 2 epochs = 1.5164227485656738, accuracy = 0.6532663106918335
Model loss after 3 epochs = 1.4560091495513916, accuracy = 0.7206029891967773
Model loss after 4 epochs = 1.424435019493103, accuracy = 0.7507537603378296
Model loss after 5 epochs = 1.4205318689346313, accuracy = 0.7522612810134888
Model loss after 6 epochs = 1.434867262840271, accuracy = 0.7356783747673035
Model loss after 7 epochs = 1.422460913658142, accuracy = 0.7477386593818665
Model loss after 8 epochs = 1.3907922506332397, accuracy = 0.7768844366073608
Model loss after 9 epochs = 1.3876851797103882, accuracy = 0.7819095253944397
Model loss after 10 epochs = 1.410729169845581, accuracy = 0.7603014707565308
Model loss after 11 epochs = 1.427907943725586, accuracy = 0.7402009963989258
Model loss after 12 epochs = 1.3929184675216675, accuracy = 0.7773869037628174
Model loss after 13 epochs = 1.3896522521972656, accuracy = 0.7753768563270569
Model loss after 14 epochs = 1.387618064880371, accuracy = 0.7798994779586792
Model loss after 15 epochs = 1.387908935546875, accuracy = 0.7778894305229187
Model loss after 16 epochs = 1.3835268020629883, accuracy = 0.7809045314788818
Model loss after 17 epochs = 1.3656843900680542, accuracy = 0.8010050058364868
Model loss after 18 epochs = 1.369530200958252, accuracy = 0.798492431640625
Model loss after 19 epochs = 1.3630870580673218, accuracy = 0.8060301542282104
Model loss after 20 epochs = 1.3818893432617188, accuracy = 0.7839195728302002
Model loss after 21 epochs = 1.3700413703918457, accuracy = 0.7954773902893066
Model loss after 22 epochs = 1.3898711204528809, accuracy = 0.7798994779586792
Model loss after 23 epochs = 1.3651491403579712, accuracy = 0.8005024790763855
Model loss after 24 epochs = 1.4051645994186401, accuracy = 0.766331672668457
Model loss after 25 epochs = 1.36161470413208, accuracy = 0.8015075325965881
Model loss after 26 epochs = 1.352707028388977, accuracy = 0.8130652904510498
Model loss after 27 epochs = 1.3576573133468628, accuracy = 0.8120602965354919
Model loss after 28 epochs = 1.3538919687271118, accuracy = 0.8120602965354919
Model loss after 29 epochs = 1.3630350828170776, accuracy = 0.802512526512146
Model loss after 30 epochs = 1.356273889541626, accuracy = 0.8105527758598328
Model loss after 31 epochs = 1.3554315567016602, accuracy = 0.8130652904510498
